"Category","Budgeted_Expense","Actual_Expense","Variance","Department","Location","Expense_Date","Approved By"
"Marketing",50000,52000,-2000,"Sales","Delhi","2024-08-01","Ramesh"
"IT",30000,29000,1000,"IT","Mumbai","2024-08-02","Priya"
"HR",20000,21000,-1000,"HR","Bangalore","2024-08-03","Neha"
"Operations",40000,39000,1000,"Operations","Chennai","2024-08-04","Ravi"
"Sales",60000,62000,-2000,"Sales","Delhi","2024-08-05","Amit"
"Finance",25000,24000,1000,"Finance","Mumbai","2024-08-06","Priya"
"R&D",45000,47000,-2000,"R&D","Bangalore","2024-08-07","Ramesh"
"Logistics",35000,34000,1000,"Logistics","Chennai","2024-08-08","Neha"
"Marketing",55000,54000,1000,"Sales","Delhi","2024-08-09","Priya"
"IT",31000,32000,-1000,"IT","Mumbai","2024-08-10","Ravi"
"HR",22000,23000,-1000,"HR","Bangalore","2024-08-11","Neha"
"Operations",41000,40000,1000,"Operations","Chennai","2024-08-12","Ramesh"
"Sales",61000,60000,1000,"Sales","Delhi","2024-08-13","Priya"
"Finance",26000,25000,1000,"Finance","Mumbai","2024-08-14","Ramesh"
"R&D",46000,48000,-2000,"R&D","Bangalore","2024-08-15","Neha"
"Logistics",36000,35000,1000,"Logistics","Chennai","2024-08-16","Priya"
"Marketing",56000,55000,1000,"Sales","Delhi","2024-08-17","Ravi"
"IT",32000,33000,-1000,"IT","Mumbai","2024-08-18","Ramesh"
"HR",23000,24000,-1000,"HR","Bangalore","2024-08-19","Priya"
"Operations",42000,41000,1000,"Operations","Chennai","2024-08-20","Neha"
"Sales",62000,63000,-1000,"Sales","Delhi","2024-08-21","Ravi"
"Finance",27000,26000,1000,"Finance","Mumbai","2024-08-22","Priya"
"R&D",47000,49000,-2000,"R&D","Bangalore","2024-08-23","Ramesh"
"Logistics",37000,36000,1000,"Logistics","Chennai","2024-08-24","Neha"
